,fpc,0.x,0.y,1.x,1.y,2.x,2.y,3.x,3.y,4.x,4.y,5.x,5.y,6.x,6.y,7.x,7.y,8.x,8.y,9.x,9.y,10.x,10.y,11.x,11.y,12.x,12.y,13.x,13.y,14.x,14.y
88,435,376,208,360,234,328,229,296,272,264,304,392,240,424,208,392,176,352,341,336,341,280,373,368,378,376,341,432,373,360,368
89,440,376,208,360,234,328,229,296,272,264,304,392,240,424,208,392,176,352,341,336,341,280,373,368,378,376,341,440,373,360,368
90,445,376,208,360,234,328,229,296,272,272,298,392,240,424,208,392,176,352,341,336,336,448,122,360,378,376,346,440,373,368,373
91,450,376,208,360,234,328,229,296,272,264,304,392,240,424,208,392,176,352,341,336,336,448,122,440,133,376,346,280,373,368,378
92,455,376,208,360,234,320,229,288,277,264,304,392,240,424,208,392,176,352,341,336,341,280,373,368,378,376,346,432,373,368,368
93,460,376,208,360,234,320,234,296,277,272,304,392,240,424,208,392,176,352,341,336,341,280,373,368,378,376,341,432,373,360,368
94,465,376,208,360,240,320,234,296,277,272,309,392,240,432,208,392,176,352,341,336,341,280,373,368,378,376,341,440,373,360,368
95,470,376,208,360,240,320,234,296,282,280,309,392,245,432,208,392,176,352,341,336,341,280,373,368,378,376,341,432,373,360,368
96,475,376,208,360,240,320,240,296,282,280,309,392,240,432,208,392,176,352,341,336,341,280,368,368,378,376,341,432,373,360,368
97,480,376,208,360,240,320,240,296,288,280,309,392,245,432,208,392,176,352,341,336,341,280,368,368,378,376,341,432,373,360,368
98,485,376,208,352,240,320,240,296,288,280,314,392,245,432,208,392,176,352,341,336,341,280,368,368,378,376,341,432,373,360,368
99,490,376,208,352,245,320,240,296,288,280,314,392,245,424,208,392,176,352,346,336,346,280,368,376,384,376,346,432,373,360,368
100,495,368,208,352,245,320,240,304,288,288,320,384,245,424,208,392,176,352,341,336,341,280,368,368,378,376,346,432,373,360,368
101,500,368,208,352,245,320,240,304,288,288,314,392,245,424,208,392,176,352,341,336,341,280,368,368,378,376,341,432,373,360,368
102,505,368,208,352,245,320,245,304,282,288,314,392,245,424,208,392,176,352,341,336,341,280,368,368,378,376,341,432,373,360,368
103,510,368,208,352,245,320,245,304,288,288,320,392,245,424,202,392,176,352,341,336,341,280,368,368,378,376,341,432,373,360,368
104,515,368,208,352,245,320,245,304,293,296,320,384,245,424,202,392,176,352,341,336,341,280,368,368,378,376,341,432,373,360,368
105,520,368,208,352,245,320,245,312,293,296,320,392,245,424,202,392,176,352,346,336,341,288,373,368,378,376,346,432,373,360,368
106,525,368,208,352,245,320,245,312,293,296,320,392,245,424,202,392,176,352,346,336,341,288,373,368,378,376,346,432,373,360,368
107,530,368,208,352,245,320,245,312,293,296,320,392,245,424,202,392,176,352,346,336,341,288,373,368,378,376,346,432,373,360,368
108,535,368,208,352,245,320,245,312,293,288,325,384,245,424,208,392,176,352,341,336,341,280,368,368,378,376,341,432,373,360,368
109,540,368,213,352,245,320,245,304,293,288,330,392,245,424,208,392,181,360,346,336,346,280,368,368,378,376,346,432,373,360,368
110,545,368,213,352,245,320,245,304,298,280,336,384,245,424,208,392,181,352,346,336,346,280,368,368,378,376,346,440,373,360,368
111,550,368,213,352,245,320,245,304,298,272,346,384,245,424,208,392,181,352,346,336,346,280,373,368,378,376,346,440,373,360,368
112,555,368,213,352,245,320,240,296,298,272,341,392,245,424,208,392,181,352,346,336,346,280,373,368,378,376,346,440,373,368,368
113,560,368,213,360,240,320,234,296,293,264,336,392,245,424,213,392,181,352,346,336,341,280,373,368,378,376,346,440,373,368,368
114,565,376,213,360,240,328,234,296,282,264,325,392,245,424,213,392,181,352,346,336,346,280,373,368,378,376,341,440,373,360,368
115,570,376,213,360,234,328,229,296,277,256,320,392,240,424,208,392,181,352,346,336,346,280,373,368,378,376,346,440,373,360,368
116,575,376,213,360,234,328,229,288,272,256,309,392,240,424,208,392,181,352,346,336,346,280,373,368,378,376,341,440,373,360,368
117,580,376,213,360,234,328,229,288,272,256,304,392,240,424,208,392,181,352,346,336,346,280,373,368,378,376,341,440,373,368,368
118,585,376,208,360,234,328,229,288,272,256,304,392,240,424,208,392,176,352,346,336,346,280,373,368,378,376,341,432,373,360,368
119,590,376,208,360,234,328,229,288,272,264,304,392,240,424,208,392,176,352,346,336,346,280,373,376,384,376,346,432,373,360,368
120,595,376,208,360,234,328,229,288,272,264,304,392,240,424,208,392,176,352,341,336,341,280,373,368,378,376,341,432,373,360,368
121,600,376,208,360,234,320,229,288,272,264,298,392,240,424,208,392,176,352,341,336,341,280,373,368,378,376,341,432,373,360,368
