,fpc,0.x,0.y,1.x,1.y,2.x,2.y,3.x,3.y,4.x,4.y,5.x,5.y,6.x,6.y,7.x,7.y,8.x,8.y,9.x,9.y,10.x,10.y,11.x,11.y,12.x,12.y,13.x,13.y,14.x,14.y
79,390,360,149,360,176,328,176,312,154,328,133,392,176,392,218,400,256,360,245,344,245,336,293,344,336,376,245,376,293,376,341
80,395,360,149,360,176,328,176,312,154,328,133,392,176,392,218,400,256,360,245,344,245,336,293,344,341,376,245,376,298,376,346
81,400,360,149,360,176,328,176,312,154,328,133,392,176,392,218,400,261,360,245,344,245,336,293,336,336,376,245,376,298,376,346
82,405,360,149,360,176,328,176,312,154,328,133,392,176,392,218,400,261,360,245,344,245,336,293,344,336,376,245,376,298,376,341
83,410,360,149,360,176,328,176,312,154,336,133,392,176,392,218,400,261,360,245,344,245,336,293,344,336,376,245,376,298,376,341
84,415,360,149,360,176,328,176,312,154,328,133,392,176,392,218,400,261,360,245,344,245,336,293,344,336,376,245,376,298,376,341
85,420,360,149,360,176,328,176,312,154,336,133,392,176,392,218,400,261,360,245,344,245,336,293,336,330,376,245,376,293,376,341
86,425,360,149,360,176,328,176,312,154,328,133,392,176,400,218,400,261,360,245,344,245,336,293,344,341,376,245,376,304,376,346
87,430,360,149,360,176,328,176,312,154,328,133,392,176,400,218,400,261,360,245,344,245,336,293,344,336,376,245,376,298,376,346
88,435,360,149,360,176,328,176,312,154,328,133,392,176,400,218,400,261,360,245,344,245,336,293,344,336,376,245,376,298,376,341
89,440,360,149,360,176,328,176,312,154,328,133,392,176,392,218,400,261,360,245,344,245,336,293,344,341,376,245,376,298,376,341
90,445,360,149,360,176,328,176,312,154,328,133,392,176,400,218,400,261,360,245,344,245,336,293,344,336,376,245,376,293,376,341
91,450,360,149,360,176,328,176,312,154,328,133,392,176,400,218,400,261,360,245,344,245,336,293,344,336,376,245,376,298,376,341
92,455,360,149,360,176,328,176,312,154,336,133,392,176,400,218,400,261,360,245,344,245,336,293,336,330,376,245,376,293,384,400
93,460,360,149,360,176,328,176,312,154,336,133,392,176,400,218,400,261,360,245,344,245,336,293,336,336,376,245,376,293,384,400
