,fpc,0.x,0.y,1.x,1.y,2.x,2.y,3.x,3.y,4.x,4.y,5.x,5.y,6.x,6.y,7.x,7.y,8.x,8.y,9.x,9.y,10.x,10.y,11.x,11.y,12.x,12.y,13.x,13.y,14.x,14.y
80,395,424,160,400,192,368,197,320,202,280,197,424,192,472,186,512,181,400,288,376,293,336,336,272,384,424,288,480,304,488,378
81,400,424,160,400,192,368,197,320,202,280,197,424,192,472,186,520,181,400,288,376,293,336,336,280,378,424,288,480,304,488,378
82,405,424,160,400,192,368,197,320,202,280,197,424,192,472,186,520,181,400,288,376,293,336,336,280,378,424,288,480,304,488,378
83,410,424,160,400,192,368,197,328,202,280,197,424,192,472,186,512,181,400,288,376,293,336,336,280,378,424,288,480,304,488,378
84,415,424,160,400,192,368,197,328,202,280,197,424,192,472,186,520,181,400,288,376,293,336,336,280,378,424,288,480,304,488,378
85,420,424,160,400,192,368,197,328,202,280,197,424,192,472,186,520,181,400,288,376,293,336,336,280,378,424,288,480,304,488,378
86,425,424,160,400,192,368,197,328,202,280,202,424,192,472,186,520,181,400,288,376,293,336,336,280,378,424,288,480,304,488,378
87,430,424,160,400,192,368,197,328,202,280,197,424,192,472,186,520,181,400,288,376,293,336,336,280,378,424,288,480,304,488,378
88,435,424,160,400,197,376,197,328,202,280,202,424,192,472,192,520,186,400,288,376,293,336,336,280,378,424,288,480,304,488,378
89,440,424,160,400,197,368,197,328,202,280,202,432,192,472,186,520,186,400,293,376,293,336,336,280,378,424,288,480,304,488,378
90,445,424,160,400,197,376,197,328,202,280,202,432,192,472,192,520,186,400,293,376,293,336,336,280,378,424,288,480,304,488,378
91,450,424,160,400,197,376,197,328,202,280,202,432,192,472,192,520,186,400,288,376,293,336,336,280,378,424,288,480,304,488,378
92,455,424,160,400,197,368,197,328,202,280,202,432,192,472,192,520,186,400,288,376,293,336,336,280,378,424,288,480,304,488,378
93,460,424,160,400,197,368,197,328,202,280,197,424,192,472,192,520,186,400,288,376,293,336,336,280,378,424,288,480,304,488,378
94,465,424,160,400,197,368,197,328,202,280,197,424,192,472,192,520,186,400,288,376,293,336,336,280,378,424,288,480,304,488,378
95,470,424,160,400,197,368,197,328,202,280,197,424,192,472,192,520,186,400,288,376,293,336,336,280,378,424,288,480,304,488,378
96,475,424,160,400,197,376,197,320,202,280,197,424,192,472,192,520,186,400,288,376,293,336,336,280,378,424,288,480,304,488,378
97,480,424,160,400,197,376,197,328,202,280,197,432,192,472,192,520,186,400,288,376,293,336,336,272,384,424,288,480,304,488,378
98,485,424,160,400,197,376,197,328,202,280,197,432,192,472,192,520,186,400,288,376,293,336,336,272,384,424,288,480,304,488,378
99,490,424,160,400,197,376,197,328,202,280,197,424,192,472,192,520,181,400,288,376,293,336,336,272,384,424,288,480,304,488,378
100,495,424,160,400,192,368,197,328,202,280,197,432,192,472,192,520,181,400,288,376,293,336,336,272,384,424,288,480,304,488,378
101,500,424,160,400,192,376,192,328,202,280,197,424,192,472,192,520,181,400,288,376,293,336,336,272,384,424,288,480,304,488,378
102,505,424,160,400,192,368,197,328,202,280,197,424,192,472,192,520,181,400,288,376,293,336,336,272,384,424,288,480,304,488,378
103,510,424,160,400,197,376,197,328,202,280,202,432,197,472,192,520,181,400,293,384,293,336,336,272,384,424,288,480,304,488,378
104,515,424,160,400,197,376,197,328,202,280,202,432,197,472,192,520,181,400,288,384,293,336,336,272,384,424,288,480,304,488,378
105,520,424,160,400,197,376,197,328,202,280,197,424,197,472,192,520,181,400,288,384,293,336,341,272,384,424,288,480,304,488,378
106,525,424,160,400,197,376,197,328,202,280,197,432,197,472,192,520,181,400,293,384,293,336,341,272,384,424,288,480,304,488,378
107,530,424,160,400,197,376,197,328,202,280,197,432,197,472,192,520,181,400,288,384,293,336,341,280,378,424,288,480,304,488,378
108,535,424,160,400,197,376,197,328,202,280,197,432,197,472,192,520,181,400,293,384,293,336,341,280,378,424,288,480,304,488,378
109,540,424,160,400,197,376,197,328,202,280,202,424,197,472,192,520,181,400,293,384,293,336,341,280,378,424,288,480,304,488,378
110,545,424,160,400,197,376,197,328,202,280,202,424,197,472,192,520,181,400,293,384,293,336,341,280,378,424,288,480,304,488,378
111,550,424,160,400,197,376,197,328,202,280,202,424,197,472,192,520,181,400,293,384,293,336,341,280,378,424,288,480,304,488,378
112,555,424,160,400,197,376,197,328,202,280,202,424,197,472,186,520,181,400,293,384,293,336,341,280,378,424,288,480,304,488,378
113,560,424,160,400,197,368,197,328,202,280,202,424,197,472,192,520,181,400,293,384,293,336,341,280,378,424,288,480,304,488,378
114,565,424,160,400,197,376,197,328,202,280,202,424,197,472,192,520,181,400,293,376,293,336,341,280,378,424,288,480,304,488,378
115,570,424,160,400,197,376,197,328,202,280,202,424,197,472,192,520,181,400,293,376,293,336,341,280,378,424,288,480,304,488,378
116,575,424,160,400,197,376,197,328,202,280,202,424,197,472,186,520,181,400,293,376,293,336,341,280,378,424,288,480,304,488,378
117,580,424,160,400,197,376,197,328,202,280,202,424,197,472,186,520,181,400,293,376,293,336,341,280,378,424,288,480,304,488,378
118,585,424,160,400,197,376,197,328,202,280,202,424,197,472,186,520,181,400,293,376,293,336,341,280,378,424,288,480,304,488,378
119,590,424,160,400,197,368,197,320,202,280,202,432,192,472,186,520,181,400,293,376,293,336,341,280,378,424,288,480,304,488,378
120,595,424,160,400,197,368,197,320,202,280,202,432,192,472,186,512,181,400,293,376,293,336,341,280,378,424,288,480,304,488,378
121,600,424,160,400,197,368,197,320,202,280,202,424,197,472,186,520,181,400,293,376,293,336,341,280,378,424,288,480,304,488,378
122,605,424,160,400,197,368,197,320,202,280,202,424,197,472,186,520,181,400,293,376,293,336,341,280,378,424,288,480,304,488,378
